Date;Open;High;Low;Close;Volume;Dividends;Stock Splits
2014-12-04;28200.400390625;30096.900390625;27953.0;28447.69921875;811330;0;0
2014-12-05;26551.19921875;27540.69921875;25974.0;26056.5;377529;0;0
2014-12-08;25231.900390625;26056.5;23582.80078125;23582.80078125;367585;0;0
2014-12-09;23582.80078125;23582.80078125;21274.0;21274.0;570963;0;0
2014-12-10;19789.69921875;20202.0;19212.5;19295.0;539795;0;0
2014-12-11;18635.30078125;19295.0;17398.5;17728.30078125;1053637;0;0
2014-12-12;17645.80078125;19295.0;17233.599609375;19047.599609375;1117064;0;0
2014-12-15;19377.400390625;19872.19921875;18800.19921875;19212.5;1274964;0;0
2014-12-16;18552.900390625;19047.599609375;17316.0;17480.900390625;857050;0;0
2014-12-17;16573.900390625;17728.30078125;16079.2001953125;16409.0;1354314;0;0
2014-12-18;16491.400390625;17645.80078125;16491.400390625;17563.400390625;662974;0;0
2014-12-19;17316.0;17563.400390625;16161.599609375;16738.80078125;518451;0;0
2014-12-22;16491.400390625;17233.599609375;16079.2001953125;16821.30078125;1007310;0;0
2014-12-23;16491.400390625;18470.400390625;16491.400390625;18470.400390625;1508297;0;0
2014-12-24;19954.599609375;20037.099609375;18470.400390625;18800.19921875;1577424;0;0
2014-12-26;17893.19921875;18305.5;16986.19921875;17068.599609375;700848;0;0
2014-12-29;16491.400390625;17893.19921875;15419.5;15914.2001953125;1454027;0;0
2014-12-30;15666.900390625;17233.599609375;14594.900390625;16409.0;1217844;0;0
2014-12-31;15914.2001953125;17480.900390625;15914.2001953125;16903.69921875;796555;0;0
2015-01-02;16903.69921875;16903.69921875;16903.69921875;16903.69921875;0;0;0
2015-01-05;16491.400390625;17316.0;16491.400390625;16821.30078125;396691;0;0
2015-01-06;16491.400390625;18470.400390625;15666.900390625;18470.400390625;1063824;0;0
2015-01-07;20284.5;20284.5;18965.19921875;19872.19921875;1314257;0;0
2015-01-08;19377.400390625;21521.30078125;19377.400390625;20119.599609375;926165;0;0
2015-01-09;20614.30078125;21356.400390625;20119.599609375;20614.30078125;550952;0;0
2015-01-12;21026.599609375;21026.599609375;18717.80078125;18965.19921875;634632;0;0
2015-01-13;18140.599609375;20037.099609375;17728.30078125;19707.30078125;871992;0;0
2015-01-14;18965.19921875;20449.400390625;18965.19921875;20119.599609375;1372020;0;0
2015-01-15;20119.599609375;22098.5;19624.80078125;22098.5;1815717;0;0
2015-01-16;22428.400390625;22923.099609375;21438.900390625;21521.30078125;1239428;0;0
2015-01-20;21109.0;21521.30078125;20944.099609375;21109.0;519663;0;0
2015-01-21;21109.0;22181.0;21026.599609375;21109.0;674289;0;0
2015-01-22;21191.5;21438.900390625;20614.30078125;21026.599609375;421406;0;0
2015-01-23;21851.19921875;21933.599609375;20861.69921875;21851.19921875;891905;0;0
2015-01-26;22181.0;22758.19921875;21026.599609375;22016.099609375;654764;0;0
2015-01-27;22016.099609375;22181.0;20944.099609375;21438.900390625;1206929;0;0
2015-01-28;21026.599609375;21851.19921875;20944.099609375;21438.900390625;366614;0;0
2015-01-29;21026.599609375;22758.19921875;20614.30078125;22758.19921875;680280;0;0
2015-01-30;21933.599609375;23252.900390625;21851.19921875;22923.099609375;741960;0;0
2015-02-02;22263.5;24984.5;22263.5;22840.69921875;506444;0;0
2015-02-03;22263.5;24489.80078125;22263.5;22428.400390625;456855;0;0
2015-02-04;22428.400390625;22428.400390625;21274.0;21356.400390625;744022;0;0
2015-02-05;21109.0;21356.400390625;20366.900390625;20531.80078125;1263200;0;0
2015-02-06;20202.0;21356.400390625;20202.0;20614.30078125;521737;0;0
2015-02-09;20614.30078125;21026.599609375;19295.0;19459.900390625;815425;0;0
2015-02-10;20202.0;20202.0;18140.599609375;18635.30078125;1228273;0;0
2015-02-11;17810.80078125;19459.900390625;17480.900390625;19459.900390625;559563;0;0
2015-02-12;19130.099609375;19872.19921875;18965.19921875;19212.5;647497;0;0
