;GME;AMC;KOSS;NAKD;BBBY;NOK;VIX
AMC;0.6995960889419219;;0.6561181131823686;0.27453005686830423;0.4826521683532601;0.47571457595719935;0.4330158275063015
KOSS;0.9411143516798185;0.6561181131823686;;0.3594757920781151;0.7781402365762071;0.3994997239471214;0.6302011002650838
NAKD;0.254980176934248;0.27453005686830423;0.3594757920781151;;0.15685259027893336;0.05629395223973755;-0.055584341548706416
BBBY;0.7623354053547313;0.48265216835326014;0.7781402365762071;0.15685259027893336;;0.42114668282201995;0.6896538488709817
NOK;0.39728882991806114;0.4757145759571993;0.3994997239471214;0.05629395223973755;0.42114668282201995;;0.34167986509558246
VIX;0.7162359578708473;0.4330158275063015;0.6302011002650838;-0.05558434154870641;0.6896538488709817;0.3416798650955824;
GME;;0.6995960889419219;0.9411143516798185;0.254980176934248;0.7623354053547314;0.3972888299180612;0.7162359578708474
