;GME;AMC;KOSS;NAKD;BBBY;NOK;VIX
AMC;0.7119132962931695;;0.6425085684716468;0.3325748131053301;0.5953677650936715;0.6679638548627324;0.35353186812260495
KOSS;0.8968858753305006;0.6425085684716468;;0.7576300370858284;0.84054180417255;0.5778382468459737;0.2939734971738801
NAKD;0.5455687513627755;0.33257481310533016;0.7576300370858284;;0.7219325725877198;0.31758083902856377;-0.038329814570717054
BBBY;0.7698142951320354;0.5953677650936716;0.84054180417255;0.7219325725877198;;0.5210048241160494;0.10833708100703157
NOK;0.6200176836692126;0.6679638548627324;0.5778382468459737;0.31758083902856377;0.5210048241160494;;0.4380620372954315
VIX;0.4625857540840986;0.3535318681226049;0.29397349717388016;-0.038329814570717054;0.10833708100703157;0.4380620372954315;
GME;;0.7119132962931695;0.8968858753305006;0.5455687513627755;0.7698142951320354;0.6200176836692126;0.4625857540840986
