;GME;AMC;KOSS;NAKD;BBBY;NOK;VIX
AMC;0.1436811915729653;;-0.007214433021161769;0.479139017877162;0.6667917276640455;0.4911068806479132;0.42709425170951076
KOSS;0.6680557618378964;-0.007214433021161768;;0.08759332297959384;0.08391878857152266;0.12014534022230529;0.06561667889706414
NAKD;-0.0312655840787499;0.47913901787716195;0.08759332297959384;;0.47906793044670526;-0.5340160360584587;0.6651085281894256
BBBY;0.15038094249378414;0.6667917276640455;0.08391878857152266;0.47906793044670526;;-0.3322555126021259;0.25657107759938386
NOK;0.01590697565942728;0.49110688064791325;0.12014534022230529;-0.5340160360584587;-0.3322555126021259;;0.46276295550141666
VIX;0.09235173253215649;0.42709425170951076;0.06561667889706413;0.6651085281894256;0.25657107759938386;0.46276295550141666;
GME;;0.1436811915729653;0.6680557618378964;-0.0312655840787499;0.15038094249378414;0.015906975659427284;0.09235173253215648
