;GME;AMC;KOSS;NAKD;BBBY;NOK;VIX
AMC;0.7119132962931691;;0.6425085684716468;0.33257481310533027;0.5953677650936715;0.6679638548627322;0.35353186812260473
KOSS;0.8968858753305;0.642508568471647;;0.7576300370858281;0.8405418041725502;0.5778382468459736;0.29397349717387994
NAKD;0.5455687513627756;0.33257481310533027;0.7576300370858281;;0.7219325725877199;0.31758083902856404;-0.038329814570716915
BBBY;0.7698142951320355;0.5953677650936715;0.8405418041725501;0.7219325725877199;;0.5210048241160494;0.10833708100703163
NOK;0.6200176836692126;0.6679638548627322;0.5778382468459736;0.3175808390285641;0.5210048241160494;;0.4380620372954316
VIX;0.4625857540840985;0.35353186812260473;0.29397349717388;-0.038329814570716915;0.10833708100703161;0.4380620372954316;
GME;;0.7119132962931691;0.8968858753304999;0.5455687513627756;0.7698142951320355;0.6200176836692126;0.4625857540840985
