;GME;AMC;KOSS;NAKD;BBBY;NOK;VIX
AMC;0.6995960889419222;;0.6561181131823688;0.27453005686830406;0.48265216835326014;0.47571457595719946;0.4330158275063017
KOSS;0.9411143516798188;0.6561181131823688;;0.3594757920781149;0.7781402365762068;0.3994997239471217;0.6302011002650837
NAKD;0.25498017693424807;0.27453005686830406;0.3594757920781149;;0.15685259027893347;0.056293952239737696;-0.0555843415487064
BBBY;0.7623354053547321;0.4826521683532602;0.7781402365762069;0.1568525902789335;;0.4211466828220202;0.6896538488709817
NOK;0.3972888299180613;0.4757145759571995;0.3994997239471217;0.05629395223973769;0.4211466828220202;;0.34167986509558257
VIX;0.7162359578708478;0.43301582750630163;0.6302011002650837;-0.05558434154870641;0.6896538488709818;0.3416798650955826;
GME;;0.6995960889419222;0.9411143516798188;0.254980176934248;0.762335405354732;0.39728882991806125;0.7162359578708477
