;GME;AMC;KOSS;NAKD;BBBY;NOK;VIX
AMC;0.1436811915729653;;-0.007214433021161637;0.47913901787716207;0.6667917276640457;0.49110688064791336;0.42709425170951065
KOSS;0.6680557618378964;-0.007214433021161637;;0.08759332297959367;0.08391878857152256;0.12014534022230522;0.06561667889706413
NAKD;-0.03126558407874986;0.479139017877162;0.08759332297959367;;0.47906793044670526;-0.5340160360584586;0.6651085281894249
BBBY;0.15038094249378414;0.6667917276640458;0.08391878857152257;0.47906793044670526;;-0.33225551260212566;0.2565710775993838
NOK;0.01590697565942733;0.49110688064791336;0.12014534022230522;-0.5340160360584586;-0.33225551260212566;;0.4627629555014166
VIX;0.0923517325321565;0.42709425170951065;0.06561667889706413;0.6651085281894249;0.2565710775993838;0.46276295550141666;
GME;;0.14368119157296533;0.6680557618378963;-0.03126558407874985;0.15038094249378417;0.01590697565942733;0.0923517325321565
